NomSite,Adresse,CodePostal,CodeSite,NbBornes,Latitude,Longitude
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE QUARTIER LATIN 5,4 RUE DES ARENES,75005,PW0026,2,48.8451121922,2.3542064419
BIBLIOTHEQUE MOHAMMED ARKOUN,74 RUE MOUFFETARD,75005,PW0126,2,48.8424935285,2.34967376066
MAIRIE DU 5 EME,21 PLACE DU PANTHEON,75005,PW0021,2,48.846191709,2.3445808787
BIBLIOTHEQUE RAINER MARIA RILKE,88 T BOULEVARD DE PORT-ROYAL,75005,PW0115,2,48.8393069888,2.33878167349
SQUARE THEODORE MONOD,8 RUE SCIPION,75005,PW0155,1,48.8383992161,2.35377753667
JARDIN DES GRANDS EXPLORATEURS,5 RUE MICHELET,75006,PW0208,1,48.8413885661,2.33670570395
MAIRIE DU 6 EME,78 RUE BONAPARTE,75006,PW0128,1,48.8505365269,2.33261137019
MAISON DES INITIATIVES ETUDIANTES LABO6,76B RUE DE RENNES,75006,PW0146,4,48.8512426095,2.33044362302
BIBLIOTHEQUE ANDRE MALRAUX,78 BOULEVARD RASPAIL,75006,PW0118,2,48.8481097373,2.32759433608
PARC CHAMPS DE MARS - 1,AVENUE CHARLES RISLER,75007,PW0165,1,48.8569794103,2.29333906348
BIBLIOTHEQUE SAINT SIMON,116 RUE DE GRENELLE,75007,PW0022-1,1,48.8568664767,2.32004369744
PARC CHAMPS DE MARS - 2,AVENUE CHARLES RISLER,75007,PW0165-1,1,48.8546101225,2.30019063073
BERGES RIVE GAUCHE - EMMARCHEMENT,PORT DE SOLFERINO,75007,PW0207,2,48.8614166418,2.32435657002
BIBLIOTHEQUE AMELIE,164 RUE DE GRENELLE,75007,PW0059,1,48.8580688977,2.30898988281
BERGES RIVE GAUCHE - LA HALLE,PORT DE SOLFERINO,75007,PW0190,2,48.8611484589,2.32506543396
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 7,93 RUE SAINT DOMINIQUE,75007,PW0027,1,48.8595702097,2.30722648326
MAIRIE DU 7 EME,116 RUE DE GRENELLE,75007,PW0022,1,48.8568664767,2.32004369744
BERGES RIVE GAUCHE - JARDIN FLOTTANT,PORT DU GROS CAILLOU,75007,PW0189,3,48.8629641751,2.30452468194
ESPLANADE DES INVALIDES,1 RUE PAUL ET JEAN LEROLLE,75007,PW0161,1,48.8581897423,2.31289426397
PROMENADE DES CHAMPS ELYSEES - KIOSQUE A MUSIQUE,AVENUE EDWARD TUCK,75008,PW0196,2,48.8652873059,2.31783976898
BIBLIOTHEQUE EUROPE,3 RUE DE LISBONNE,75008,PW0124,2,48.877751384,2.31748647872
PARC MONCEAU  - ENTREE PARC,1 PLACE DE LA REPUBLIQUE DOMINICAINE,75008,PW0151-1,3,48.87994077,2.30749907611
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  8,28 RUE LAURE DIEBOLD,75008,PW0047,2,48.8760292839,2.30478482557
PARC MONCEAU - ALLEE CONTESSE DE SEGUR,1-3 PLACE DE LA REPUBLIQUE DOMINICAINE,75008,PW0151,4,48.8802623407,2.30983989697
GYMNASE BEAUJON,7 ALLEE LOUIS DE FUNES,75008,PW0095,1,48.8753645715,2.30462671902
MUSEE CERNUSCHI,7 AVENUE VELASQUEZ,75008,PW8888,17,48.8794445126,2.31252309998
MAIRIE DU 8 EME,3 RUE DE LISBONNE,75008,PW0024,1,48.877751384,2.31748647872
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  9 ANNEXE,35 RUE VICTOR MASSE,75009,PW0038,1,48.8809409831,2.33701088306
SQUARE D'ANVERS,PLACE D'ANVERS,75009,PW0184,1,48.88231743,2.34452051997
BIBLIOTHEQUE VALEYRE,24 RUE DE ROCHECHOUART,75009,PW0142,2,48.8779672649,2.34502151234
SQUARE MONTHOLON,RUE LA FAYETTE,75009,PW0186,1,48.8769016573,2.34640500313
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  9,54 RUE PIGALLE,75009,PW0037,1,48.8809781342,2.33593661121
SQUARE TRINITE D ESTIENNE D ORVES,1 PLACE D ESTIENNES D ORVES,75009,PW0176,1,48.8765956695,2.33179827521
BIBLIOTHEQUE DROUOT,11 RUE DROUOT,75009,PW0060,1,48.8733902739,2.34045205645
BIBLIOTHEQUE CHAPTAL,26 RUE CHAPTAL,75009,PW0109,2,48.8811113359,2.33234555983
MAIRIE DU 9 EME,6 RUE DROUOT,75009,PW0131,1,48.8725916024,2.34048060215
MAIRIE DU 10 EME,72 RUE DU FAUBOURG SAINT MARTIN,75010,PW0010,3,48.8717845119,2.35738264495
MEDIATHEQUE FRANCOISE SAGAN,8 RUE LEON SCHWARTZENBERG,75010,PW0147,11,48.8754298708,2.35366677297
BOURSE DU TRAVAIL,3 RUE DU CHATEAU D EAU,75010,PW0215,3,48.8691054125,2.36199740627
JARDIN DES BERGES DU CANAL SAINT MARTIN,150 QUAI DE VALMY,75010,PW0194,1,48.8801112154,2.36720666871
